utterance,intent
문제 해결이 제대로 안 되어서 매우 불만족스럽습니다.,평가
서비스가 너무 복잡해서 사용하기 어렵습니다.,평가
이런 오류는 초기에 잡았어야 하는 것 아닌가요?,평가
고객센터 연결이 너무 오래 걸려서 짜증났습니다.,평가
제품 설명과 실제가 달라서 기분이 상했어요.,평가
전반적인 사용자 경험이 끔찍했습니다.,평가
다시는 이용하고 싶지 않네요.,평가
개선이 시급해 보입니다. 실망이 큽니다.,평가
매우 훌륭한 기능이라고 생각합니다.,평가
덕분에 업무 효율이 높아졌어요.,평가
서비스 업데이트가 사용자 의견을 잘 반영한 것 같습니다.,평가
이 기능은 정말 혁신적이네요.,평가
앞으로도 계속 잘 사용할 것 같아요.,평가
가이드 문서를 좀 더 쉽게 작성해 주면 좋을 것 같습니다,제안
다른 서비스와의 연동 옵션을 늘려주셨으면 합니다,제안
새로운 이모티콘 세트를 추가해 보는 건 어떨까요?,제안
알림 소리를 사용자가 직접 설정할 수 있게 해주세요,제안
사용자가 직접 레이아웃을 편집할 수 있는 기능을 제공해 주세요,제안
데이터 분석 결과를 시각화하는 도구를 개선해 주세요,제안
오프라인에서도 일부 기능을 사용할 수 있도록 해주시면 좋겠습니다,제안
로그인 시간을 좀 더 길게 유지할 수 있게 설정해 주세요,제안
사용자가 직접 버그를 신고할 수 있는 간편한 폼을 만들어 주세요,제안
자주 묻는 질문(FAQ) 섹션을 더 자세히 보강해 주세요,제안
친구 초대 기능을 추가하면 사용자 유입에 도움이 될 것 같습니다,제안
시스템 안정성을 위해 서버를 증설하는 것을 고려해 보세요,제안
이전 기록을 쉽게 찾을 수 있도록 검색 기능을 개선해 주세요,제안
데이터를 CSV뿐만 아니라 JSON 형식으로도 내보낼 수 있게 해주세요,제안
다양한 언어 지원을 확대해 주시면 좋겠습니다,제안
앱 아이콘 디자인을 좀 더 트렌디하게 변경하면 어떨까요?,제안
사용자들에게 맞춤형 추천 기능을 제공해 주세요,제안
프로필 설정에서 배경 이미지를 바꿀 수 있는 옵션을 추가해 주세요,제안
이전 대화 내용을 요약해 주는 기능을 추가하면 편리할 것 같아요,제안
오프라인 결제 수단을 추가해 주시면 감사하겠습니다,제안
글꼴 스타일을 다양하게 선택할 수 있는 기능을 제공해 주세요,제안
이벤트 참여 시 사용자 경험을 개선해 주시면 좋겠습니다,제안
이 기능의 단축키를 알려주세요,질문
이것 말고 다른 색상은 없나요?,질문
프로모션 코드는 어떻게 적용해야 하나요?,질문
가입 시 어떤 개인 정보를 수집하나요?,질문
서비스를 해지하면 데이터는 어떻게 처리되나요?,질문
결제 내역은 어디서 확인할 수 있나요?,질문
이 제품은 정품이 맞나요?,질문
기술 사양에 대해 더 알고 싶어요,질문
현재 진행 중인 이벤트가 있나요?,질문
모바일과 PC 버전의 기능 차이가 있나요?,질문
이용에 제한이 있는 국가가 있나요?,질문
환불 처리 기간은 얼마나 걸리나요?,질문
상담원과 직접 연결하려면 어떻게 해야 하나요?,질문
서비스에 대한 만족도를 어떻게 표현할 수 있나요?,질문
이 파일 형식도 지원되나요?,질문
업데이트 후에 어떤 점이 바뀌었나요?,질문
새로운 기능 사용법을 모르겠어요,질문
포인트는 어떻게 적립하고 사용할 수 있나요?,질문
다른 사람에게 이 서비스를 추천해도 되나요?,질문
문의 사항이 있는데 어디에 남겨야 하나요?,질문
이 오류 코드는 무엇을 의미하나요?,질문
가장 인기 있는 제품은 무엇인가요?,질문
앱이 갑자기 느려지고 멈추는 현상이 발생합니다,버그리포트
알림 팝업이 화면 밖으로 나가서 클릭이 안 돼요,버그리포트
텍스트 입력 시 글자가 두 번씩 반복해서 입력됩니다,버그리포트
업로드한 사진이 가끔 깨져 보이거나 로딩이 안 됩니다,버그리포트
푸시 알림을 껐는데도 계속 알림이 옵니다,버그리포트
비밀번호 재설정 링크가 만료되었다고 반복적으로 나옵니다,버그리포트
사용자 이름 변경 후에도 이전 이름으로 표시됩니다,버그리포트
새 메일이 수신되었는데도 알림 배지가 업데이트되지 않습니다,버그리포트
특정 브라우저에서만 버튼이 보이지 않는 문제가 있습니다,버그리포트
결제 시 오류 메시지가 뜨면서 결제가 진행되지 않았습니다,버그리포트
스크롤이 부자연스럽게 끊기면서 움직입니다,버그리포트
파일 다운로드 중 속도가 0%에서 멈추는 현상이 있습니다,버그리포트
검색 결과가 10개 미만인데도 다음 페이지로 넘어가는 버튼이 활성화됩니다,버그리포트
계정 설정이 저장되지 않고 계속 초기화됩니다,버그리포트
챗봇이 질문과 전혀 상관없는 답변을 반복합니다,버그리포트
데이터를 삭제해도 목록에 계속 나타납니다,버그리포트
아이콘을 눌러도 아무 반응이 없습니다,버그리포트
시스템 자원을 너무 많이 소모해서 컴퓨터가 느려집니다,버그리포트
업데이트 후 이전 데이터가 모두 사라졌습니다,버그리포트
새 계정을 만들었는데 로그인 자체가 불가능합니다,버그리포트
친구에게 메시지를 보내면 에러 메시지가 뜨면서 전송이 안 됩니다,버그리포트
결제 페이지에서 가격이 이중으로 표시되는 오류가 있습니다,버그리포트
다른 사람의 개인 정보가 제 화면에 노출되는 버그가 있습니다,버그리포트
오늘 하루도 고생 많았어.,일상
내일 일찍 일어나야 해.,일상
저녁 약속 취소됐대.,일상
주말 계획은 세웠니?,일상
오늘 날씨가 흐리네.,일상
새로 산 옷 어때?,일상
운동 시작해야 하는데.,일상
요즘 잠을 잘 못 자.,일상
괜찮다면 같이 가자.,일상
생일 축하해!,일상
퇴근 시간 언제야?,일상
점심 메뉴 추천 좀.,일상
집에 가는 길이야.,일상
힘내! 잘 될 거야.,일상
이거 정말 맛있어!,일상
다음 주에 휴가야.,일상
오랜만에 연락했네.,일상
무슨 일로 전화했어?,일상
오늘 하루 정말 길다.,일상
새로운 드라마 시작했어.,일상
여행 사진 보여줄게.,일상
오늘 기분 별로야.,일상
걱정하지 말고 푹 쉬어.,일상
도움이 필요하면 언제든 말해.,일상
이메일이 전송되지 않는 문제가 발생했습니다,버그리포트
댓글에 첨부된 파일이 열리지 않습니다,버그리포트
사용자 환경설정이 계속 초기값으로 되돌아갑니다,버그리포트
게시글 수정 후에도 수정 전 내용이 보입니다,버그리포트
특정 조건에서만 페이지가 깨지는 현상이 있습니다,버그리포트
키보드 입력이 한 박자 늦게 반영됩니다,버그리포트
알림을 눌러도 해당 내용으로 이동하지 않아요,버그리포트
장바구니에 담은 상품이 저절로 사라졌습니다,버그리포트
이미지 미리보기가 작동하지 않습니다,버그리포트
비회원 구매 시 오류 페이지가 나옵니다,버그리포트
사이트의 보안 취약점이 있는 것 같습니다,버그리포트
캡챠 인증이 계속 실패합니다,버그리포트
사용 기록이 정확하게 기록되지 않고 누락됩니다,버그리포트
모든 기능을 사용하려면 어떤 권한이 필요한가요?,질문
구독을 취소하려면 어떻게 해야 하나요?,질문
이 제품을 구매한 다른 사람들의 후기가 궁금해요,질문
서비스 이용료는 얼마인가요?,질문
다음 버전에는 어떤 새로운 기능이 추가되나요?,질문
이 오류가 왜 발생하는지 설명해 주실 수 있나요?,질문
이 기능의 사용 목적이 무엇인가요?,질문
가장 효율적인 사용법을 알려주세요,질문
제품 보증 기간은 얼마나 되나요?,질문
사용 가능한 쿠폰이 있는지 확인해 주세요,질문
이 서비스의 경쟁 우위는 무엇인가요?,질문
결제 비밀번호를 잊어버렸는데 어떻게 해야 하나요?,질문
이 문제가 해결되는 데 얼마나 걸릴까요?,질문
데이터를 영구적으로 삭제할 수 있는 방법이 있나요?,질문
지금 바로 이 문제를 해결할 수 있는 방법은 무엇인가요?,질문
기술적인 도움을 받을 수 있는 연락처는 무엇인가요?,질문
다른 운영체제에서도 이 앱을 사용할 수 있나요?,질문
이용자들의 평균 만족도는 어느 정도인가요?,질문
추가 비용이 발생하는 부분이 있나요?,질문
이 기능은 누가 만들었나요?,질문
지금까지 사용해본 서비스 중 최고였습니다.,평가
직원들의 고객 서비스 태도가 매우 훌륭했습니다.,평가
기대한 것보다 훨씬 더 좋은 결과물을 얻었습니다.,평가
정말 돈이 아깝지 않은 서비스였습니다.,평가
문제 없이 원활하게 잘 이용했습니다. 만족해요.,평가
"기능 자체는 만족스러운데, 디자인이 조금 아쉽습니다.",평가
보통 수준의 서비스였습니다. 재구매 의사는 50% 정도입니다.,평가
다른 서비스 대비 특별한 장점은 모르겠습니다.,평가
"딱히 불만은 없지만, 감동도 없습니다.",평가
"개선될 여지는 있지만, 현재로서는 나쁘지 않습니다.",평가
"사용은 가능했지만, 여러 면에서 불편했습니다.",평가
사용자 인터페이스가 너무 구식입니다.,평가
가격 대비 효율성이 떨어지는 것 같습니다.,평가
이 서비스를 다른 사람에게 추천하고 싶지 않습니다.,평가
기능이 너무 제한적이라 실망했습니다.,평가
몇 번의 오류 때문에 중요한 작업을 놓쳤습니다. 화가 납니다.,평가
고객의 피드백을 전혀 반영하지 않는 것 같습니다.,평가
서비스가 자주 중단되어 신뢰가 가지 않습니다.,평가
다시는 이용하고 싶지 않다는 생각만 들게 하네요.,평가
이런 식으로 운영할 거면 차라리 문을 닫으세요.,평가
최악의 서비스 경험이었습니다.,평가
시스템 반응 속도가 빨라서 매우 만족합니다.,평가
이 기능은 정말 사용자 친화적입니다.,평가
다음 버전에서는 이 기능을 완전히 제거해 주시면 좋겠습니다,제안
오류 보고 시 스크린샷 첨부 기능을 의무화해 주세요,제안
사용자 지정 테마를 만들 수 있는 옵션을 추가해 주세요,제안
시스템 로그를 사용자가 직접 다운로드할 수 있게 해주세요,제안
서비스 이용 기록을 일정 기간 후 자동 삭제하는 기능을 추가해 주세요,제안
협업 기능을 강화하여 실시간 공동 편집이 가능하게 해주세요,제안
모바일 앱의 위젯 기능을 좀 더 다양하게 만들어 주세요,제안
데이터 처리 속도를 높이는 것이 시급해 보입니다,제안
특정 시간대에만 알림을 꺼둘 수 있는 기능을 만들어 주세요,제안
로그인 시 생체 인식(지문/얼굴) 기능을 도입해 주세요,제안
복잡한 설정 과정을 단순화하는 마법사 기능을 제공해 주세요,제안
고객센터 문의 전에 자주 발생하는 오류의 해결법을 팝업으로 띄워주세요,제안
이벤트 기간을 좀 더 길게 연장해 주시면 좋겠습니다,제안
이 제품의 포장재를 친환경적인 것으로 바꿔주세요,제안
사용자 커뮤니티 기능을 만들어 서로 정보를 공유하게 해주세요,제안
다양한 언어에 대한 번역 품질을 개선해 주세요,제안
새로운 기능을 배우기 위한 가이드 투어를 제공해 주세요,제안
계정 보안을 위해 2단계 인증을 필수로 설정하게 해 주세요,제안
이런 제품은 어떻게 만드는 건가요?,질문
서비스에 가입하면 어떤 혜택이 있나요?,질문
가장 최근에 추가된 기능은 무엇인가요?,질문
제공되는 API를 어떻게 사용할 수 있나요?,질문
이 데이터는 안전하게 보관되는 건가요?,질문
현재 접속자가 얼마나 되나요?,질문
구매 후 며칠 이내에 교환/반품이 가능한가요?,질문
이용 시간을 늘리려면 추가 비용을 내야 하나요?,질문
다른 사용자들이 이 기능에 대해 어떻게 생각하나요?,질문
시스템을 다시 시작해야 하는 경우가 있나요?,질문
이 기능의 성능을 더 높일 방법은 무엇인가요?,질문
서비스가 다운될 때 알림을 받을 수 있나요?,질문
저는 누구와 이야기하고 있는 건가요?,질문
제안 사항은 어떻게 반영되나요?,질문
"이 오류가 제 환경 문제인가요, 아니면 서버 문제인가요?",질문
이 기능에 대한 자세한 사용설명서는 어디서 볼 수 있나요?,질문
"업데이트가 강제인가요, 아니면 선택인가요?",질문
이 제품은 언제 출시되었나요?,질문
모든 기능을 만족스럽게 이용했습니다. 감사합니다.,평가
고객의 의견을 경청하는 모습이 인상적이었습니다.,평가
버그 리포트 후 처리가 매우 신속했습니다.,평가
사용성 면에서 매우 뛰어난 제품입니다.,평가
오랜만에 정말 잘 만든 서비스를 경험했습니다.,평가
"다른 부분은 다 좋은데, 속도가 조금 아쉽습니다.",평가
전체적으로 보통의 경험이었습니다. 나쁘지는 않아요.,평가
"기능은 좋지만, 인터페이스가 좀 복잡합니다.",평가
기존 제품과 큰 차이를 느끼지 못했습니다.,평가
"개인적으로는 만족하지만, 대중적이지 않을 것 같습니다.",평가
"가끔 오류가 나지만, 금방 복구되어서 그냥 사용합니다.",평가
가격이 조금 비싼 것 같아 재구매를 망설이게 됩니다.,평가
응대가 너무 느려서 답답했습니다.,평가
여러 번 시도해야 겨우 작동합니다. 너무 불편해요.,평가
제가 원하던 기능이 없어서 실망했습니다.,평가
버그가 너무 많아 사용할 수가 없습니다.,평가
이 서비스는 왜 이렇게 불친절한가요?,평가
기능이 자주 중단되어서 신뢰할 수 없습니다.,평가
이런 품질로 유료 서비스를 제공하는 건 문제라고 봅니다.,평가
제 시간을 낭비하게 만들었습니다. 보상해 주세요.,평가
제품의 내구성이 너무 약합니다.,평가
기능이 너무 많아서 오히려 혼란스럽습니다,제안
사용자가 직접 데이터 보관 기간을 설정할 수 있게 해 주세요,제안
반복적인 작업은 매크로 기능을 통해 자동화할 수 있게 해주세요,제안
다른 사용자가 만든 템플릿을 공유하는 기능을 추가하면 좋겠습니다,제안
새로운 기능을 배타적으로 먼저 사용해 볼 수 있는 옵션을 제공해 주세요,제안
긴 텍스트를 자동으로 요약해 주는 기능을 넣어주세요,제안
앱이 백그라운드에서 실행될 때 알림을 받을 수 있게 해주세요,제안
오류가 발생했을 때 바로 문의 채널로 연결되게 해주세요,제안
사용자가 직접 튜토리얼을 만들어 공유할 수 있는 플랫폼을 만들어 주세요,제안
프로필 사진을 여러 장 등록할 수 있게 해주세요,제안
시스템 업데이트 시 사용자에게 어떤 데이터가 영향을 받는지 미리 알려주세요,제안
서비스의 개인 정보 보호 수준을 시각적으로 표시해 주세요,제안
이메일 인증 외에 다른 인증 방법도 추가해 주세요,제안
가입 시 추천인 코드를 입력할 수 있는 필드를 추가해 주세요,제안
이 기능에 대한 심화 학습 자료를 제공해 주셨으면 합니다,제안
사용자 의견에 대한 피드백 과정을 투명하게 공개해 주세요,제안
경쟁사 서비스 대비 장점을 명확히 보여주세요,제안
앱의 용량을 줄이는 방향으로 최적화해 주세요,제안
이 제품의 제조사는 어디인가요?,질문
결제 방식에는 어떤 종류가 있나요?,질문
비상 연락망은 어떻게 되나요?,질문
개인 정보 보호 정책에 대해 알고 싶습니다,질문
서비스 이용 중 발생한 문제에 대해 누가 책임지나요?,질문
이용 가능 연령에 제한이 있나요?,질문
새로운 공지사항이 있나요?,질문
이 앱이 다른 앱과 호환되나요?,질문
이 서비스의 수익 구조는 어떻게 되나요?,질문
제품 사용 설명서를 다운로드 받을 수 있나요?,질문
가장 자주 발생하는 오류 유형은 무엇인가요?,질문
이 기능의 보안 수준은 어느 정도인가요?,질문
제한 없이 서비스를 이용할 수 있는 방법은 무엇인가요?,질문
현재 위치에서 이 서비스를 이용할 수 있나요?,질문
이 기능의 사용을 중단하고 싶습니다,질문
사용자 데이터를 암호화하여 저장하고 있나요?,질문
일반 사용자도 API를 이용할 수 있나요?,질문
이 문제를 해결하기 위한 공식적인 절차가 있나요?,질문
제품의 품질과 성능에 매우 만족합니다.,평가
직관적인 인터페이스 덕분에 쉽게 사용할 수 있었습니다.,평가
제기했던 문제에 대한 해결책이 매우 창의적이었습니다.,평가
서비스를 이용하는 과정이 즐거웠습니다.,평가
이런 훌륭한 서비스를 만들어 주셔서 감사합니다.,평가
다른 서비스와 비교했을 때 특별히 나쁘지 않습니다.,평가
"기능은 다 있지만, 디자인이 투박해서 아쉽습니다.",평가
"가격은 적당하지만, 성능이 약간 기대에 못 미칩니다.",평가
필요한 기능은 다 갖추고 있습니다.,평가
서비스 이용에 큰 불편함은 없었습니다.,평가
"가끔 오류가 발생하지만, 심각한 수준은 아닙니다.",평가
직원들이 좀 더 적극적으로 문제를 해결해 주었으면 좋겠습니다.,평가
대기 시간이 너무 길어 중요한 타이밍을 놓쳤습니다.,평가
버그 수정이 너무 느려서 작업에 지장이 있었습니다.,평가
돈을 냈는데 이 정도 서비스밖에 안 되나요?,평가
고객센터의 불친절한 태도에 실망했습니다.,평가
자주 사용하는 기능이 자꾸 오류가 납니다,버그리포트
페이지를 이동할 때마다 강제로 로그아웃됩니다,버그리포트
첨부 파일을 다운로드하려고 하면 '접근 권한 없음'이 뜹니다,버그리포트
모바일 앱에서 특정 버튼이 작동하지 않는 현상이 있습니다,버그리포트
자동 완성 기능이 갑자기 멈추고 작동하지 않습니다,버그리포트
스크롤 시 화면이 깜빡거리며 부자연스럽게 보입니다,버그리포트
작성 중이던 내용이 저장되지 않고 날아갔습니다,버그리포트
결제 페이지에서 통화 설정이 잘못 표시됩니다,버그리포트
특정 이미지 파일이 썸네일로 보이지 않는 오류가 있습니다,버그리포트
새로운 기능을 사용하려고 하면 구 버전으로 강제 전환됩니다,버그리포트
비밀번호를 정확히 입력해도 계속 틀렸다고 나옵니다,버그리포트
링크를 복사해서 붙여넣으면 이상한 문자가 추가됩니다,버그리포트
일부 사용자에게만 알림이 가지 않는 문제가 있습니다,버그리포트
데이터베이스에서 정보를 불러올 때 지연 현상이 발생합니다,버그리포트
화면 해상도 변경 시 레이아웃이 완전히 깨집니다,버그리포트
댓글에 이모티콘이 제대로 표시되지 않고 깨집니다,버그리포트
새로운 게시물을 작성할 때마다 이전 내용이 자동으로 입력됩니다,버그리포트
시스템 시간이 잘못 표시되는 버그가 있습니다,버그리포트
구독을 해지했는데도 계속 요금이 청구됩니다,버그리포트
다른 사람의 개인 정보가 노출된 심각한 보안 버그가 있습니다,버그리포트
어제 저녁에 뭐 했어?,일상
오늘 날씨 정말 습하다.,일상
점심 약속 잡을까?,일상
요즘 무슨 일 있어?,일상
그 사람 다시 만났어?,일상
이번 주말에 캠핑 갈까?,일상
내일 아침 일찍 출발해야 해.,일상
네 말이 맞아.,일상
이거 정말 신기하다.,일상
혼자 힘으로 해냈어.,일상
여행 계획 좀 짜줘.,일상
갑자기 머리가 아프네.,일상
나중에 다시 이야기하자.,일상
배고프니까 빨리 가자.,일상
음악 소리가 너무 커.,일상
요즘 너무 바빠.,일상
오늘 컨디션 최고야.,일상
잠깐 바람 좀 쐬고 올게.,일상
이거 어떻게 하는 거야?,일상
새로운 프로젝트 시작했어.,일상
커피숍 분위기가 좋다.,일상
왜 이렇게 늦었어?,일상
"괜찮아, 이해해.",일상
다음에 꼭 같이 하자.,일상
계정 정보가 노출된 것 같습니다,버그리포트
