,id,title,original_title,release_date,overview,original_language,origin_country,genres,adult
9087,9087,The American President,The American President,1995-11-17,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",en,['US'],"['Comedy', 'Drama', 'Romance']",False
12110,12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995-12-22,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",en,['US'],"['Comedy', 'Horror']",False
21032,21032,Balto,Balto,1995-12-22,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",en,['US'],"['Family', 'Animation', 'Adventure']",False
10858,10858,Nixon,Nixon,1995-12-22,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,en,['US'],"['Drama', 'History']",False
1408,1408,Cutthroat Island,Cutthroat Island,1995-12-22,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",en,['US'],"['Action', 'Adventure']",False
524,524,Casino,Casino,1995-11-22,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",en,['US'],"['Crime', 'Drama']",False
4584,4584,Sense and Sensibility,Sense and Sensibility,1995-12-13,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",en,"['GB', 'US']","['Drama', 'Romance']",False
5,5,Four Rooms,Four Rooms,1995-12-09,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,en,['US'],['Comedy'],False
9273,9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995-11-10,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",en,['US'],"['Crime', 'Comedy', 'Adventure']",False
11517,11517,Money Train,Money Train,1995-11-21,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",en,['US'],"['Action', 'Comedy', 'Crime']",False
8012,8012,Get Shorty,Get Shorty,1995-10-20,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",en,['US'],"['Comedy', 'Thriller', 'Crime']",False
1710,1710,Copycat,Copycat,1995-10-27,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,en,['US'],"['Thriller', 'Crime', 'Mystery', 'Horror', 'Drama']",False
9691,9691,Assassins,Assassins,1995-10-06,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",en,['US'],"['Action', 'Adventure', 'Crime', 'Thriller']",False
12665,12665,Powder,Powder,1995-10-27,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",en,['US'],"['Drama', 'Fantasy']",False
451,451,Leaving Las Vegas,Leaving Las Vegas,1995-10-27,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",en,['US'],"['Drama', 'Romance']",False
16420,16420,Othello,Othello,1995-12-15,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,en,['US'],['Drama'],False
9263,9263,Now and Then,Now and Then,1995-10-20,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",en,['US'],"['Comedy', 'Drama', 'Romance']",False
17015,17015,Persuasion,Persuasion,1995-05-01,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",en,"['US', 'GB']","['Drama', 'Romance']",False
902,902,The City of Lost Children,La Cité des Enfants Perdus,1995-05-17,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",fr,['FR'],"['Fantasy', 'Science Fiction', 'Adventure']",False
37557,37557,Shanghai Triad,摇啊摇，摇到外婆桥,1995-09-14,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",zh,['CN'],"['Drama', 'Crime']",False
9909,9909,Dangerous Minds,Dangerous Minds,1995-08-11,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",en,['US'],['Drama'],False
63,63,Twelve Monkeys,Twelve Monkeys,1995-12-29,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",en,['US'],"['Science Fiction', 'Thriller', 'Mystery']",False
78802,78802,Wings of Courage,"Guillaumet, les ailes du courage",1995-06-16,"In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",fr,['FR'],"['Romance', 'Adventure']",False
9598,9598,Babe,Babe,1995-07-18,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",en,"['AU', 'US']","['Fantasy', 'Drama', 'Comedy', 'Family']",False
47018,47018,Carrington,Carrington,1995-05-25,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",en,"['US', 'GB']","['History', 'Drama', 'Romance']",False
687,687,Dead Man Walking,Dead Man Walking,1995-12-29,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,en,"['US', 'GB']",['Drama'],False
139405,139405,Across the Sea of Time,Across the Sea of Time,1995-10-20,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography.",en,['US'],"['Adventure', 'History', 'Drama', 'Family']",False
33689,33689,It Takes Two,It Takes Two,1995-11-17,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",en,['US'],"['Comedy', 'Family', 'Romance']",False
9603,9603,Clueless,Clueless,1995-07-19,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",en,['US'],"['Comedy', 'Romance']",False
34615,34615,"Cry, the Beloved Country","Cry, the Beloved Country",1995-12-15,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,en,['US'],['Drama'],False
31174,31174,Richard III,Richard III,1995-12-29,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",en,"['US', 'GB']","['Drama', 'War']",False
11443,11443,Dead Presidents,Dead Presidents,1995-09-29,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,en,['US'],"['Action', 'Crime', 'Drama', 'Thriller', 'War']",False
35196,35196,Restoration,Restoration,1995-12-29,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",en,['US'],"['Drama', 'Romance']",False
9312,9312,Mortal Kombat,Mortal Kombat,1995-08-18,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",en,['US'],"['Action', 'Fantasy']",False
577,577,To Die For,To Die For,1995-09-22,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",en,['US'],"['Drama', 'Comedy', 'Crime']",False
11861,11861,How to Make an American Quilt,How to Make an American Quilt,1995-10-06,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",en,['US'],"['Drama', 'Romance']",False
807,807,Se7en,Se7en,1995-09-22,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",en,['US'],"['Crime', 'Mystery', 'Thriller']",False
10530,10530,Pocahontas,Pocahontas,1995-06-14,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",en,['US'],"['Adventure', 'Animation', 'Family', 'Romance']",False
8391,8391,When Night Is Falling,When Night Is Falling,1995-02-01,"Camille is a professor at a Protestant college who is engaged to Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",en,['CA'],"['Drama', 'Romance']",False
629,629,The Usual Suspects,The Usual Suspects,1995-07-19,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",en,['US'],"['Drama', 'Crime', 'Thriller']",False
117164,117164,Guardian Angel,Guardian Angel,1994-11-22,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",en,['US'],"['Action', 'Thriller', 'Drama']",False
11448,11448,Mighty Aphrodite,Mighty Aphrodite,1995-09-13,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",en,['US'],"['Comedy', 'Romance']",False
49133,49133,Lamerica,Lamerica,1994-09-09,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",it,['IT'],['Drama'],False
26441,26441,The Big Green,The Big Green,1995-09-29,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",en,['US'],"['Family', 'Comedy']",False
97406,97406,Georgia,Georgia,1995-05-19,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",en,['US'],['Drama'],False
124057,124057,Kids of the Round Table,Kids of the Round Table,1995-12-15,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",en,"['CA', 'US']","['Family', 'Fantasy', 'Comedy', 'Adventure']",False
9089,9089,Home for the Holidays,Home for the Holidays,1995-11-02,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",en,['US'],"['Comedy', 'Drama', 'Romance']",False
11010,11010,The Postman,Il postino,1994-04-07,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,it,['IT'],"['Comedy', 'Drama', 'Romance']",False
99040,99040,The Confessional,Le Confessionnal,1995-09-29,"Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",fr,"['FR', 'CA']","['Thriller', 'Drama', 'Mystery']",False
11359,11359,The Indian in the Cupboard,The Indian in the Cupboard,1995-07-14,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,en,['US'],"['Adventure', 'Family', 'Fantasy']",False
17182,17182,Eye for an Eye,Eye for an Eye,1996-01-12,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",en,['US'],['Thriller'],False
2054,2054,Mr. Holland's Opus,Mr. Holland's Opus,1995-12-29,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",en,['US'],"['Drama', 'Music']",False
10607,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",en,['US'],"['Comedy', 'Crime']",False
19760,19760,Two If by Sea,Two If by Sea,1996-01-12,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",en,['US'],"['Comedy', 'Romance']",False
9536,9536,Bio-Dome,Bio-Dome,1996-01-12,"Bud and Doyle are a pair of aimless slackers with no real direction in life. While their environmentally-conscious girlfriends are passionate about saving the planet, the two couldn't care less. One day, they accidentally stumble into a high-stakes scientific experiment—a year-long mission in a sealed ""Bio-Dome"" with no contact with the outside world—and unwittingly become part of the project.",en,['US'],['Comedy'],False
11525,11525,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",en,['US'],"['Science Fiction', 'Horror', 'Action', 'Thriller']",False
40628,40628,Two Bits,Two Bits,1995-10-22,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",en,['US'],"['Drama', 'Family']",False
4482,4482,French Twist,Gazon maudit,1995-01-18,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",fr,['FR'],"['Comedy', 'Romance']",False
10634,10634,Friday,Friday,1995-04-26,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",en,['US'],"['Comedy', 'Drama']",False
755,755,From Dusk Till Dawn,From Dusk Till Dawn,1996-01-19,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",en,['US'],"['Horror', 'Action', 'Thriller', 'Crime']",False
11859,11859,Fair Game,Fair Game,1995-11-03,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",en,['US'],['Action'],False
28387,28387,Kicking and Screaming,Kicking and Screaming,1995-10-06,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",en,['US'],"['Comedy', 'Drama', 'Romance']",False
48750,48750,Les Miserables,Les Misérables,1995-03-22,"In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",fr,['FR'],"['Drama', 'History']",False
20927,20927,Bed of Roses,Bed of Roses,1996-01-26,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",en,['US'],"['Drama', 'Romance']",False
36929,36929,Big Bully,Big Bully,1996-01-26,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",en,['US'],['Comedy'],False
9102,9102,Screamers,Screamers,1995-09-08,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",en,['CA'],"['Horror', 'Science Fiction', 'War']",False
124626,124626,Nico Icon,Nico Icon,1995-02-18,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",en,['US'],['Documentary'],False
27526,27526,The Crossing Guard,The Crossing Guard,1995-01-26,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.",en,['US'],"['Drama', 'Thriller']",False
9623,9623,The Juror,The Juror,1996-02-02,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",en,['US'],"['Thriller', 'Crime', 'Drama']",False
46785,46785,The White Balloon,بادکنک سفید,1995-02-02,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,fa,['IR'],['Drama'],False
400,400,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,1995-12-01,Five different criminals face imminent death after botching a job quite badly.,en,['US'],"['Drama', 'Crime']",False
880,880,Antonia's Line,Antonia,1995-09-21,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",nl,['NL'],"['Drama', 'Comedy']",False
146599,146599,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored,1996-01-26,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,en,['US'],"['Romance', 'Drama']",False
188588,188588,Last Summer in the Hamptons,Last Summer in the Hamptons,1995-11-22,"Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers.",en,['US'],"['Comedy', 'Drama']",False
8447,8447,Angels and Insects,Angels and Insects,1995-09-10,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",en,"['GB', 'US']","['Drama', 'Romance']",False
10534,10534,White Squall,White Squall,1996-02-02,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",en,['US'],"['Drama', 'Adventure']",False
